Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Journal of Modern African Studies,0022-278X,1469-7777,1,2,Utviklingsstudier,2509,347,30.0,100.0,"[u'http://www.hero.ac.uk/rae/#Journal-journal_of_modern_african_studies,_,:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_modern_african_studies:1998', u'http://www.hero.ac.uk/rae/#Journal-journal_of_modern_african_studies:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_modern_african_studies:1997', u'http://dbpedia.org/resource/Journal_of_modern_African_studies', u'http://www.hero.ac.uk/rae/#Journal-journal_of_modern_african_studies:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_modern_african_studies,_,:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_modern_african_studies:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_modern_african_studies:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_modern_african_studies:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_modern_african_studies,_,:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_modern_african_studies,_,:1998', u'http://www.hero.ac.uk/rae/#Journal-journal_of_modern_african_studies:1998', u'http://www.hero.ac.uk/rae/#Journal-journal_of_modern_african_studies:1996', u'http://wikidata.dbpedia.org/resource/Q6295584', u'http://wikidata.dbpedia.org/resource/Q6295584', u'http://wikidata.dbpedia.org/resource/Q6295584', u'http://era.rkbexplorer.com/id/ERAID-18887', u'http://lobid.org/resource/HT016403977', u'http://www.wikidata.org/entity/Q6295584']"
Journal of natural products,0163-3864,1520-6025,1,2,"Farmasi, farmakologi og toksikologi",3193,516,0.0,100.0,"[u'http://www.crystallography.net/cod/1513101.html', u'http://www.crystallography.net/cod/1513219.html', u'http://www.crystallography.net/cod/1513222.html', u'http://www.crystallography.net/cod/1513223.html', u'http://ld.zdb-services.de/resource/2617383-9', u'http://www.crystallography.net/cod/1501805.html', u'http://www.crystallography.net/cod/1501806.html', u'http://www.crystallography.net/cod/1501807.html', u'http://www.crystallography.net/cod/1501808.html', u'http://www.crystallography.net/cod/1501818.html', u'http://www.crystallography.net/cod/1501822.html', u'http://www.crystallography.net/cod/1501833.html', u'http://www.crystallography.net/cod/1501837.html', u'http://www.crystallography.net/cod/1501838.html', u'http://www.crystallography.net/cod/1501847.html', u'http://www.crystallography.net/cod/1502798.html', u'http://www.crystallography.net/cod/1502802.html', u'http://www.crystallography.net/cod/1502807.html', u'http://www.crystallography.net/cod/1502815.html', u'http://www.crystallography.net/cod/1502830.html']"
Journal of organizational behavior management,0160-8061,1540-8604,2,1,Økonomisk-administrative fag,961,41,11.0,41.0,"[u'http://wikidata.dbpedia.org/resource/Q15760657', u'http://wikidata.dbpedia.org/resource/Q15760657', u'http://www.wikidata.org/entity/Q15760657S3081ADEC-6E86-47BC-9BE7-76699878B415', u'http://lobid.org/resource/ZDB593704-8', u'http://lobid.org/resource/ZDB2067615-3', u'http://www.wikidata.org/entity/Q15760657', u'http://www.wikidata.org/entity/Q15760657', u'http://www.wikidata.org/entity/Q15760657', u'http://lod.b3kat.de/title/BV002698249', u'http://ld.zdb-services.de/resource/593704-8', u'http://wikidata.dbpedia.org/resource/Q15760657', u'http://wikidata.dbpedia.org/resource/Q15760657', u'http://era.rkbexplorer.com/id/ERAID-6443', u'http://www.wikidata.org/entity/Q15760657', u'http://www.wikidata.org/entity/Q15760657', u'http://lod.hebis.de/resource/10288936', u'http://ld.zdb-services.de/resource/2067615-3', u'http://wikidata.dbpedia.org/resource/Q15760657', u'http://wikidata.dbpedia.org/resource/Q15760657', u'http://wikidata.dbpedia.org/resource/Q15760657']"
Journal of Pharmaceutical Sciences,0022-3549,1520-6017,1,2,"Farmasi, farmakologi og toksikologi",1642,458,31.0,100.0,"[u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_pharmaceutical_sciences:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_pharmaceutical_sciences.:1997', u'http://www.hero.ac.uk/rae/#Journal-journal_of_pharmaceutical_sciences:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_pharmaceutical_sciences:2000', u'http://fr.dbpedia.org/resource/Journal_of_Pharmaceutical_Sciences', u'http://wikidata.dbpedia.org/resource/Q3186933', u'http://uk.dbpedia.org/resource/\u0413\u0430\u043b\u044e\u0446\u0438\u043d\u043e\u0433\u0435\u043d\u043d\u0456_\u0433\u0440\u0438\u0431\u0438', u'http://wikidata.dbpedia.org/resource/Q3186933', u'http://wikidata.dbpedia.org/resource/Q3186933', u'http://wikidata.dbpedia.org/resource/Q3186933', u'http://uk.dbpedia.org/resource/\u0413\u0430\u043b\u044e\u0446\u0438\u043d\u043e\u0433\u0435\u043d\u043d\u0456_\u0433\u0440\u0438\u0431\u0438', u'http://www.hero.ac.uk/rae/#Journal-journal_of_pharmaceutical_sciences.:1997', u'http://www.hero.ac.uk/rae/#Journal-journal_of_pharmaceutical_sciences:1996', u'http://lobid.org/resource/ZDB2409209-5', u'http://dbpedia.org/resource/Psilocybin_mushroom', u'http://www.wikidata.org/entity/Q3186933', u'http://www.wikidata.org/entity/Q3186933', u'http://www.wikidata.org/entity/Q3186933', u'http://lod.b3kat.de/title/BV002535199', u'http://lod.hebis.de/resource/06544245']"
Journal of Power Sources,0378-7753,1873-2755,2,1,Tekn - Elkraft og elektrotekniske fag,2482,181,41.0,100.0,"[u'http://dbpedia.org/resource/Journal_of_Power_Sources', u'http://dbpedia.org/resource/Journal_of_Power_Sources', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_power_sources:1998', u'http://www.hero.ac.uk/rae/#Journal-journal_of_power_sources:1998', u'http://eprints.rkbexplorer.com/id/bath/journal-66b576799e2f3d616b8551bec721b7f4', u'http://www.hero.ac.uk/rae/#Journal-journal_of_power_sources:2000', u'http://dbpedia.org/resource/Journal_of_Power_Sources', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_power_sources:1999', u'http://ro.dbpedia.org/resource/Journal_of_Power_Sources', u'http://wikidata.dbpedia.org/resource/Q3023654', u'http://dbpedia.org/resource/Journal_of_Power_Sources', u'http://wikidata.dbpedia.org/resource/Q3023654', u'http://dbpedia.org/resource/Journal_of_Power_Sources', u'http://www.hero.ac.uk/rae/#Journal-journal_of_power_sources:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_power_sources:1998', u'http://lobid.org/resource/ZDB196774-5', u'http://www.hero.ac.uk/rae/#Journal-journal_of_power_sources:2000', u'http://www.hero.ac.uk/rae/#Journal-journal_of_power_sources:2000', u'http://ro.dbpedia.org/resource/Journal_of_Power_Sources', u'http://it.dbpedia.org/resource/Waldemar_Jungner']"
Journal of quantitative criminology,0748-4518,1573-7799,2,1,Rettsvitenskap,639,59,17.0,59.0,"[u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_quantitative_criminology.:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_quantitative_criminology:1996', u'http://sv.dbpedia.org/resource/Teorin_om_sj\xe4lvkontroll', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_quantitative_criminology:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_quantitative_criminology:2000', u'http://wikidata.dbpedia.org/resource/Q18559359', u'http://wikidata.dbpedia.org/resource/Q15767040', u'http://dbpedia.org/resource/Self-control_theory_of_crime', u'http://era.rkbexplorer.com/id/ERAID-17271', u'http://sv.dbpedia.org/resource/Teorin_om_sj\xe4lvkontroll', u'http://lobid.org/resource/ZDB353979-9', u'http://www.hero.ac.uk/rae/#Journal-journal_of_quantitative_criminology:2000', u'http://lobid.org/resource/HT013817577', u'http://www.wikidata.org/entity/Q15767040', u'http://www.wikidata.org/entity/Q15767040', u'http://lod.hebis.de/resource/09183838', u'http://lod.b3kat.de/title/BV002598237', u'http://dbpedia.org/resource/Self-control_theory_of_crime', u'http://ld.zdb-services.de/resource/353979-9', u'http://ld.zdb-services.de/resource/2017241-2']"
Journal of research in crime and delinquency,0022-4278,1552-731X,2,1,Rettsvitenskap,1511,127,26.0,100.0,"[u'http://ld.zdb-services.de/resource/700175-7', u'http://ld.zdb-services.de/resource/2011523-4', u'http://dbpedia.org/resource/Journal_of_Research_in_Crime_and_Delinquency', u'http://dbpedia.org/resource/Journal_of_Research_in_Crime_and_Delinquency', u'http://dbpedia.org/resource/Journal_of_Research_in_Crime_and_Delinquency', u'http://dbpedia.org/resource/Journal_Of_Research_In_Crime_And_Delinquency', u'http://dbpedia.org/resource/Journal_of_Research_in_Crime_and_Delinquency', u'http://lod.hebis.de/resource/04796722', u'http://wikidata.dbpedia.org/resource/Q6295862', u'http://era.rkbexplorer.com/id/ERAID-17273', u'http://dbpedia.org/resource/Journal_of_Research_in_Crime_and_Delinquency', u'http://wikidata.dbpedia.org/resource/Q6295862', u'http://wikidata.dbpedia.org/resource/Q6295862', u'http://lobid.org/resource/HT014026853', u'http://lobid.org/resource/HT006105313', u'http://lobid.org/resource/HT005991152', u'http://lobid.org/resource/HT015483537', u'http://lobid.org/resource/HT016309922', u'http://lobid.org/resource/HT006234021', u'http://lobid.org/resource/HT006580475']"
Journal of Risk and Insurance,0022-4367,1539-6975,2,1,Økonomisk-administrative fag,4724,116,26.0,100.0,"[u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_risk_and_insurance:2000', u'http://wikidata.dbpedia.org/resource/Q15753532', u'http://wikidata.dbpedia.org/resource/Q15753532', u'http://wikidata.dbpedia.org/resource/Q15753532', u'http://www.wikidata.org/entity/Q15753532', u'http://www.wikidata.org/entity/Q15753532', u'http://wikidata.dbpedia.org/resource/Q15753532', u'http://wikidata.dbpedia.org/resource/Q15753532', u'http://era.rkbexplorer.com/id/ERAID-18444', u'http://wikidata.dbpedia.org/resource/Q15753532', u'http://www.wikidata.org/entity/Q15753532S8E0F403B-E6E1-4092-A249-DC9C6573FE44', u'http://www.wikidata.org/entity/Q15753532', u'http://www.wikidata.org/entity/Q15753532', u'http://www.wikidata.org/entity/Q15753532', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_risk_and_insurance:2000', u'http://wikidata.dbpedia.org/resource/Q15753532', u'http://era.rkbexplorer.com/id/ERAID-18444', u'http://www.wikidata.org/entity/Q15753532', u'http://www.wikidata.org/entity/Q15753532', u'http://eprints.soton.ac.uk/id/publication/ext-00224367']"
Journal of Social Science Education,1611-9665,1618-5293,1,2,Pedagogikk og utdanning,2948,16,0.0,16.0,"[u'http://lobid.org/resource/HT013858506', u'http://lobid.org/resource/ZDB2116175-6', u'http://lod.hebis.de/resource/09619856', u'http://lod.hebis.de/resource/11298455', u'http://lod.hebis.de/resource/11349939', u'http://ld.zdb-services.de/resource/2039660-0', u'http://lobid.org/resource/ZDB2039660-0', u'http://lod.hebis.de/resource/11298455', u'http://ld.zdb-services.de/resource/2116175-6', u'http://lod.hebis.de/resource/09619856', u'http://lod.hebis.de/resource/11349939', u'http://ld.zdb-services.de/resource/2039660-0', u'http://lobid.org/resource/ZDB2039660-0', u'http://lobid.org/resource/ZDB2039660-0', u'http://lobid.org/resource/HT013858506', u'http://lobid.org/resource/ZDB2116175-6']"
Journal of Sport Management,0888-4773,1543-270X,2,1,Idrettsforskning,771,118,25.0,100.0,"[u'http://ld.zdb-services.de/resource/2093114-1', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_sport_management:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_sport_management:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_sport_management:2000', u'http://eprints.rkbexplorer.com/id/bath/journal-df517287a16eb54cbf7b759f81212bc4', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_sport_management:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_sport_management:2000', u'http://wikidata.dbpedia.org/resource/Q15759213', u'http://wikidata.dbpedia.org/resource/Q15759213', u'http://www.wikidata.org/entity/Q15759213S113ED884-F478-49AD-B907-D59E04964209', u'http://lobid.org/resource/ZDB1052907-X', u'http://www.hero.ac.uk/rae/#Journal-journal_of_sport_management.:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_sport_management:1999', u'http://lobid.org/resource/ZDB2093114-1', u'http://www.wikidata.org/entity/Q15759213', u'http://www.wikidata.org/entity/Q15759213', u'http://lod.hebis.de/resource/05478614', u'http://ru.dbpedia.org/resource/\u0413\u0430\u0440\u043b\u0435\u043c_\u0413\u043b\u043e\u0431\u0442\u0440\u043e\u0442\u0442\u0435\u0440\u0441', u'http://ld.zdb-services.de/resource/1052907-x', u'http://www.hero.ac.uk/rae/#Journal-journal_of_sport_management.:1999']"
Journal of the European Ceramic Society,0955-2219,1873-619X,2,1,Tekn - Materialteknologi,869,105,6.0,100.0,"[u'http://eprints.ecs.soton.ac.uk/id/publication/ext-514df96983d03b524e442b45171f11f1', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:1996', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_european_ceramic_society:1997', u'http://eprints.rkbexplorer.com/id/cued-cambridge/journal-77dedb49280677c697029e4ee44dae89', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:2000', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_european_ceramic_society:1996', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_european_ceramic_society:2000', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_european_ceramic_society:1997', u'http://eprints.rkbexplorer.com/id/bath/journal-77dedb49280677c697029e4ee44dae89', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_european_ceramic_society:1998', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_european_ceramic_society:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_european_ceramic_society.:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society.:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_european_ceramic_society:1997']"
Journal of the mechanics and physics of solids,0022-5096,1873-4782,1,2,Tekn - Maskinteknikk,1041,171,17.0,100.0,"[u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_mechanics_and_physics_of_solids:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_mechanics_and_physics_of_solids:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_mechanics_and_physics_of_solids:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_mechanics_and_physics_of_solids:1996', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_mechanics_and_physics_of_solids:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_mechanics_and_physics_of_solids:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_mechanics_and_physics_of_solids:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_mechanics_and_physics_of_solids,:1996', u'http://eprints.rkbexplorer.com/id/ucl/journal-cf9f2f95bf83bc99d063b608ad42d203', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_mechanics_and_physics_of_solids:2000', u'http://www.hero.ac.uk/rae/#Journal-journal_of_the_mechanics_and_physics_of_solids:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_mechanics_and_physics_of_solids:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_mechanics_and_physics_of_solids:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_mechanics_and_physics_of_solids:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_the_mechanics_and_physics_of_solids:1996', u'http://wikidata.dbpedia.org/resource/Q15767420', u'http://wikidata.dbpedia.org/resource/Q15767420', u'http://dbpedia.org/resource/Peridynamics', u'http://wikidata.dbpedia.org/resource/Q15767420', u'http://era.rkbexplorer.com/id/ERAID-5152']"
Journal of tribology,0742-4787,1528-8897,1,2,Tekn - Maskinteknikk,513,174,14.0,100.0,"[u'http://ld.zdb-services.de/resource/1064057-5', u'http://www.hero.ac.uk/rae/#Journal-journal_of_tribology:1997', u'http://www.hero.ac.uk/rae/#Journal-journal_of_tribology:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_tribology:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_tribology:1998', u'http://wikidata.dbpedia.org/resource/Q15746483', u'http://wikidata.dbpedia.org/resource/Q15758116', u'http://lod.hebis.de/resource/04719670', u'http://lod.hebis.de/resource/04719670', u'http://wikidata.dbpedia.org/resource/Q15758116', u'http://wikidata.dbpedia.org/resource/Q15746483', u'http://era.rkbexplorer.com/id/ERAID-3770', u'http://www.hero.ac.uk/rae/#Journal-journal_of_tribology:1999', u'http://www.hero.ac.uk/rae/#Journal-journal_of_tribology:1996', u'http://www.wikidata.org/entity/Q15746483S1D0767CD-3A3E-40F5-98AD-71AC7A20EC23', u'http://lobid.org/resource/HT003509781', u'http://lobid.org/resource/HT011246712', u'http://lobid.org/resource/HT006664597', u'http://www.wikidata.org/entity/Q15746483', u'http://www.wikidata.org/entity/Q15746483']"
Journal of World Intellectual Property,1422-2213,1747-1796,2,1,Rettsvitenskap,1567,36,8.0,36.0,"[u'http://www.hero.ac.uk/rae/#Journal-journal_of_world_intellectual_property:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_world_intellectual_property:1998', u'http://www.hero.ac.uk/rae/#Journal-journal_of_world_intellectual_property:1998', u'http://eprints.rkbexplorer.com/id/lse/journal-028fedf6d7edb6b5d11bbcbcccb8d98d', u'http://www.wikidata.org/entity/Q15749919', u'http://rae2001.rkbexplorer.com/id/resource-Journal-journal_of_world_intellectual_property:1998', u'http://wikidata.dbpedia.org/resource/Q15749919', u'http://ilreports.blogspot.com/2009/03/new-issue-journal-of-world-intellectual.html', u'http://wikidata.dbpedia.org/resource/Q15749919', u'http://wikidata.dbpedia.org/resource/Q15749919', u'http://wikidata.dbpedia.org/resource/Q15749919', u'http://era.rkbexplorer.com/id/ERAID-33548', u'http://lobid.org/resource/ZDB2217363-8', u'http://www.wikidata.org/entity/Q15749919', u'http://www.wikidata.org/entity/Q15749919', u'http://lod.hebis.de/resource/07112021', u'http://ld.zdb-services.de/resource/2217363-8', u'http://ld.zdb-services.de/resource/1422919-5', u'http://wikidata.dbpedia.org/resource/Q15749919', u'http://era.rkbexplorer.com/id/ERAID-33548']"
Land Economics,0023-7639,1543-8325,2,1,Samfunnsøkonomi,1657,669,23.0,100.0,"[u'http://ld.zdb-services.de/resource/413682-2', u'http://www.hero.ac.uk/rae/#Journal-land_economics:2000', u'http://www.hero.ac.uk/rae/#Journal-land_economics:1999', u'http://eprints.rkbexplorer.com/id/kfupm/journal-3231ab3695461f31ebad80f93007dc4a', u'http://www.hero.ac.uk/rae/#Journal-land_economics:1999', u'http://zbw.eu/stw/thsys/71066', u'http://dbpedia.org/resource/Land_%28economics%29', u'http://dbpedia.org/resource/Land_%28economics%29', u'http://www.hero.ac.uk/rae/#Journal-land_economics:1998', u'http://www.hero.ac.uk/rae/#Journal-land_economics:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-land_economics:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-land_economics:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-land_economics:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-land_economics:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-land_economics:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-land_economics:1999', u'http://dbpedia.org/resource/Land_(economics)', u'http://dbpedia.org/resource/Land_Economics', u'http://wikidata.dbpedia.org/resource/Q6483893', u'http://lod.hebis.de/resource/04733743']"
Language Resources and Evaluation,1574-020X,1574-0218,1,2,Lingvistikk,2651,546,23.0,100.0,"[u'http://ld.zdb-services.de/resource/2195235-8', u'http://dbpedia.org/resource/Language_resources_and_evaluation', u'http://dblp.rkbexplorer.com/id/journals-4153af0e0c587572965fb423641f6de6', u'http://dblp.rkbexplorer.com/id/journals-4153af0e0c587572965fb423641f6de6', u'http://eprints.rkbexplorer.com/id/twente/journal-4153af0e0c587572965fb423641f6de6', u'http://wikidata.dbpedia.org/resource/Q15754130', u'http://data.dcs.shef.ac.uk/paper/4162', u'http://lobid.org/resource/ZDB2169209-9', u'http://lobid.org/resource/HT014575367', u'http://lobid.org/resource/HT014575367', u'http://www.wikidata.org/entity/Q15754130', u'http://datos.bne.es/resource/XX4158506', u'http://www.wikidata.org/entity/Q15754130', u'http://www.wikidata.org/entity/Q15754130', u'http://dblp.l3s.de/d2r/resource/journals/lre', u'http://lod.hebis.de/resource/12498202', u'http://dbpedia.org/resource/Language_resources_and_evaluation', u'http://dblp.rkbexplorer.com/id/journals-4153af0e0c587572965fb423641f6de6', u'http://dblp.rkbexplorer.com/id/journals-4153af0e0c587572965fb423641f6de6', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#1823970']"
Language sciences (Oxford),0388-0001,1873-5746,1,2,Lingvistikk,628,1,0.0,1.0,[u'http://lobid.org/resource/TT002137363']
Language Variation and Change,0954-3945,1469-8021,1,2,Lingvistikk,2329,303,20.0,100.0,"[u'http://ld.zdb-services.de/resource/1012075-0', u'http://www.hero.ac.uk/rae/#Journal-language_variation_and_change:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-language_variation_and_change:1994', u'http://rae2001.rkbexplorer.com/id/resource-Journal-language_variation_and_change:1999', u'http://www.hero.ac.uk/rae/#Journal-language_variation_and_change:1994', u'http://rae2001.rkbexplorer.com/id/resource-Journal-language_variation_and_change:1995', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#1591556', u'http://rae2001.rkbexplorer.com/id/resource-Journal-language_variation_and_change:1994', u'http://rae2001.rkbexplorer.com/id/resource-Journal-language_variation_and_change:1998', u'http://wikidata.dbpedia.org/resource/Q15754410', u'http://es.dbpedia.org/resource/Ana_Maria_Carvalho', u'http://lod.hebis.de/resource/03496237', u'http://era.rkbexplorer.com/id/ERAID-9361', u'http://fr.dbpedia.org/resource/William_Labov', u'http://wikidata.dbpedia.org/resource/Q15754410', u'http://lobid.org/resource/HT012806676', u'http://lobid.org/resource/HT012806676', u'http://lobid.org/resource/HT014252503', u'http://lobid.org/resource/HT014963910', u'http://lobid.org/resource/HT014963910']"
Law & Contemporary Problems,0023-9186,1945-2322,2,1,Rettsvitenskap,1144,20,5.0,20.0,"[u'http://ld.zdb-services.de/resource/2249666-X', u'http://lobid.org/resource/ZDB2249666-X', u'http://lobid.org/resource/ZDB1481479-1', u'http://ld.zdb-services.de/resource/1078569-3', u'http://lod.hebis.de/resource/06817177', u'http://lod.hebis.de/resource/06817177', u'http://lod.b3kat.de/title/BV000292012', u'http://lobid.org/resource/ZDB2592834-X', u'http://lobid.org/resource/ZDB2592834-X', u'http://lod.hebis.de/resource/23074267', u'http://lod.hebis.de/resource/23074267', u'http://ld.zdb-services.de/resource/2592834-X', u'http://lobid.org/resource/ZDB1481479-1', u'http://lobid.org/resource/ZDB2249666-X', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1808774', u'http://dbpedia.org/resource/Don_Kates', u'http://dbpedia.org/resource/Don_Kates', u'http://dbpedia.org/resource/Don_Kates', u'http://es.dbpedia.org/resource/Arturo_Porzecanski', u'http://es.dbpedia.org/resource/Arturo_Porzecanski']"
Law in Eastern Europe,0075-823X,,2,1,Rettsvitenskap,4657,169,0.0,100.0,"[u'http://lobid.org/resource/ZDB704445-8', u'http://lobid.org/resource/HT009208401', u'http://lod.b3kat.de/title/BV002541248', u'http://lod.hebis.de/resource/06640137', u'http://id.loc.gov/authorities/names/n83718268', u'http://lod.hebis.de/resource/04761807', u'http://lobid.org/resource/TT002799638', u'http://lobid.org/resource/HT001388971', u'http://lobid.org/resource/HT001965277', u'http://lobid.org/resource/HT009208401', u'http://lod.hebis.de/resource/06640137', u'http://ld.zdb-services.de/resource/426760-6', u'http://ld.zdb-services.de/resource/704445-8', u'http://lod.hebis.de/resource/04761807', u'http://lobid.org/resource/HT001965278', u'http://lobid.org/resource/ZDB426760-6', u'http://lod.b3kat.de/title/BV006740120', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1713403', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#250741', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1214773']"
Learning and Instruction,0959-4752,1873-3263,1,2,Pedagogikk og utdanning,4146,967,6.0,100.0,"[u'http://ld.zdb-services.de/resource/2011980-X', u'http://ld.zdb-services.de/resource/722974-4', u'http://rae2001.rkbexplorer.com/id/resource-Journal-learning_and_instruction:2000', u'http://www.hero.ac.uk/rae/#Journal-learning_and_instruction:1998', u'http://www.hero.ac.uk/rae/#Journal-learning_and_instruction:2000', u'http://eprints.rkbexplorer.com/id/bath/journal-048fd85abc482aabf7eb7eb4571f0fbb', u'http://rae2001.rkbexplorer.com/id/resource-Journal-learning_and_instruction:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-learning_and_instruction:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-learning_and_instruction:1998', u'http://wikidata.dbpedia.org/resource/Q15763917', u'http://lod.hebis.de/resource/01133014', u'http://lod.hebis.de/resource/04799854', u'http://lod.hebis.de/resource/00314275', u'http://lod.hebis.de/resource/01133014', u'http://era.rkbexplorer.com/id/ERAID-6507', u'http://www.hero.ac.uk/rae/#Journal-learning_and_instruction:1996', u'http://www.hero.ac.uk/rae/#Journal-learning_and_instruction:1997', u'http://www.hero.ac.uk/rae/#Journal-learning_and_instruction:2000', u'http://lobid.org/resource/ZDB722974-4', u'http://lobid.org/resource/HT000844073']"
Learning Organization,0969-6474,1758-7905,2,1,Økonomisk-administrative fag,1299,992,30.0,100.0,"[u'http://dbpedia.org/resource/Learning_organization', u'http://www.livejournal.com/interests.bml?int=learning%20organization', u'http://www.livejournal.com/interests.bml?int=learning+organization', u'http://www.livejournal.com/interests.bml?int=learning+organization', u'http://www.livejournal.com/interests.bml?int=learning+organization', u'http://www.livejournal.com/interests.bml?int=learning%20organization', u'http://rdf.freebase.com/ns/m.04yzz0', u'http://rdf.freebase.com/ns/m.04yzz0', u'http://kisti.rkbexplorer.com/id/TOP_00000000000000053370', u'http://www.managementhelp.org/org_perf/org_lrng.htm', u'http://dbpedia.org/resource/Learning_organization', u'http://wikidata.dbpedia.org/resource/Q15760093', u'http://dbpedia.org/resource/Learning_organization', u'http://zbw.eu/stw/descriptor/18867-2', u'http://wikidata.dbpedia.org/resource/Q15760093', u'http://www.livejournal.com/interests.bml?int=learning%20organization', u'http://pt.dbpedia.org/resource/Learning_Organization', u'http://pt.dbpedia.org/resource/Learning_organization', u'http://www.wikidata.org/entity/Q1328304', u'http://www.wikidata.org/entity/Q15760093']"
