Texas Journal of International Law,0163-7479,,2,1,Rettsvitenskap
Text & Talk,1860-7330,1860-7349,2,1,Lingvistikk
The Georgetown law journal,0016-8092,,2,1,Rettsvitenskap
The International Journal of Children's Rights,0927-5568,1571-8182,1,2,Rettsvitenskap
The New York university law review,0028-7806,,2,1,Rettsvitenskap
The Raoul Wallenberg Institute Human Rights Library,1388-3208,,2,1,Rettsvitenskap
The University of Chicago Law Review,0041-9494,1939-859X,2,1,Rettsvitenskap
Theatre research international,0307-8833,1474-0672,2,1,Teatervitenskap og drama
Themes in Biblical Narrative,1388-3909,,2,1,Teologi og religionsvitenskap
Transportation,0049-4488,1572-9435,2,1,Tekn - Bygg og konstruksjonsteknikk
Transportation Research Part B: Methodological,0191-2615,1879-2367,2,1,Tekn - Bygg og konstruksjonsteknikk
Transportation Research Part C: Emerging Technologies,0968-090X,1879-2359,2,1,Tekn - Bygg og konstruksjonsteknikk
Transportation Research Part E: Logistics and Transportation Review,1366-5545,1878-5794,2,1,Tekn - Bygg og konstruksjonsteknikk
Transportation Research Part F: Traffic Psychology and Behaviour,1369-8478,1873-5517,2,1,Tekn - Bygg og konstruksjonsteknikk
Ultrasound in Medicine and Biology,0301-5629,1879-291X,1,2,Med - Radiol og bildediagn
University of Pennsylvania law review,0041-9907,1942-8537,2,1,Rettsvitenskap
Utilitas,0953-8208,1741-6183,1,2,Filosofi og idéhistorie
Vanderbilt Journal of Transnational Law,0090-2594,,2,1,Rettsvitenskap
Vanderbilt Law Review,0042-2533,1942-9886,2,1,Rettsvitenskap
Water Science and Technology,0273-1223,1996-9732,1,2,Tekn - Bygg og konstruksjonsteknikk
World Tax Journal,1878-4917,,1,2,Rettsvitenskap
Written Communication,0741-0883,1552-8472,1,2,Lingvistikk
Youth Theatre Journal,0892-9092,1948-4798,2,1,Teatervitenskap og drama
Zeitschrift der Deutschen Morgenländischen Gesellschaft,0341-0137,,2,1,Teologi og religionsvitenskap
Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte. Romanistische Abteilung,0323-4096,2304-4934,2,1,Rettsvitenskap
Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,0044-2348,,2,1,Rettsvitenskap
Zeitschrift für Germanistik,0323-7982,2235-1272,2,1,Tysk og nederlandsk
